"Year","rains","mes","temps","Date"
2013,1.5530456994674,"01",2.15056452529645,"2013-01-01"
2014,2.48592058075078,"01",4.58733871522104,"2014-01-01"
2015,3.20573924229416,"01",6.03263709459063,"2015-01-01"
2016,8.10581450711814,"01",5.67907259468507,"2016-01-01"
2017,5.03835808283409,"01",1.64806128437406,"2017-01-01"
2018,6.36937094999237,"01",6.96325806259448,"2018-01-01"
2019,3.60022042444231,"01",5.44525672136856,"2019-01-01"
2020,8.86337904579736,"01",6.62609408240044,"2020-01-01"
2013,1.94113095344177,"02",5.84876636751072,"2013-02-01"
2014,7.29815659090073,"02",4.39596565448229,"2014-02-01"
2015,5.95499998780897,"02",8.85535714541454,"2015-02-01"
2016,3.84716379332681,"02",8.44004022248689,"2016-02-01"
2017,12.7797643031987,"02",5.35087143364861,"2017-02-01"
2018,2.2299285704798,"02",5.14936784868727,"2018-02-01"
2019,6.56527082003214,"02",2.69488987865736,"2019-02-01"
2020,1.91830747063645,"02",5.79176149613257,"2020-02-01"
2013,2.09993548269737,"03",8.128564528644,"2013-03-01"
2014,7.27734245215548,"03",8.85588337470391,"2014-03-01"
2015,3.84314518818702,"03",10.2929126334911,"2015-03-01"
2016,6.8564462570814,"03",8.69852688894557,"2016-03-01"
2017,7.40433548425076,"03",7.94821613251322,"2017-03-01"
2018,3.67268064299959,"03",6.73900968291526,"2018-03-01"
2019,1.75327419613642,"03",6.80003091299835,"2019-03-01"
2020,2.57201075076967,"03",6.51074731104409,"2020-03-01"
2013,2.1047749902125,"04",10.6151124901242,"2013-04-01"
2014,3.37487949850784,"04",10.2903487229194,"2014-04-01"
2015,1.89441944751565,"04",9.79156112973061,"2015-04-01"
2016,2.61618056597848,"04",12.8942805511256,"2016-04-01"
2017,4.28185665923287,"04",9.15579832894107,"2017-04-01"
2018,5.02904998471262,"04",10.3324700081286,"2018-04-01"
2019,4.87582221447535,"04",10.6913722286208,"2019-04-01"
2020,1.54810555061688,"04",10.5864388783831,"2020-04-01"
2013,3.35859678322274,"05",13.6172647766208,"2013-05-01"
2014,1.80649628188281,"05",14.6383883438394,"2014-05-01"
2015,0.875889786797944,"05",14.2416263447013,"2015-05-01"
2016,0.989301075696036,"05",14.5971344164623,"2016-05-01"
2017,1.64348064612507,"05",13.8067967718647,"2017-05-01"
2018,0.213425806817794,"05",14.7741064206246,"2018-05-01"
2019,1.76686021987498,"05",14.3255201544492,"2019-05-01"
2020,2.87563979793753,"05",13.6791787496818,"2020-05-01"
2013,1.22567222029385,"06",16.5075944681962,"2013-06-01"
2014,0.975071793937315,"06",15.9768307643059,"2014-06-01"
2015,0.616005555053966,"06",19.2221569200357,"2015-06-01"
2016,0.941874997576168,"06",17.2146833280722,"2016-06-01"
2017,1.30226999511321,"06",16.8040166521072,"2017-06-01"
2018,0.811296667909483,"06",16.3292216519515,"2018-06-01"
2019,0.595766664852595,"06",16.7673569593165,"2019-06-01"
2020,1.92266110542955,"06",15.8350138896041,"2020-06-01"
2013,0.000370967732642287,"07",19.9984099531686,"2013-07-01"
2014,0.527960299336289,"07",21.0359230502959,"2014-07-01"
2015,0.0734166659249534,"07",21.3507002553632,"2015-07-01"
2016,0.424473116979859,"07",18.8111706510667,"2016-07-01"
2017,0,"07",19.5870838695957,"2017-07-01"
2018,0.0143677419104103,"07",20.900416128097,"2018-07-01"
2019,0.4341720398891,"07",18.8807392607453,"2019-07-01"
2020,0.0350510748797998,"07",19.282680108983,"2020-07-01"
2013,0.513599464424475,"08",20.0817809079283,"2013-08-01"
2014,0.207583124582972,"08",21.5338250780224,"2014-08-01"
2015,0.581922041312341,"08",20.8658266259778,"2015-08-01"
2016,0.211252687398472,"08",20.6206223439145,"2016-08-01"
2017,0.143796776313215,"08",21.658445162927,"2017-08-01"
2018,0.00974838686205687,"08",20.2331806544335,"2018-08-01"
2019,0.264801074666539,"08",20.1108548525841,"2019-08-01"
2020,0.105924730948661,"08",19.8522795720767,"2020-08-01"
2013,6.73972220549703,"09",17.0792819354269,"2013-09-01"
2014,1.17915641685518,"09",18.7681205242108,"2014-09-01"
2015,1.08756943997319,"09",16.2855111247963,"2015-09-01"
2016,0.948983336090007,"09",16.2481041669846,"2016-09-01"
2017,1.98932333688058,"09",18.4658783284823,"2017-09-01"
2018,0.767066666384926,"09",16.0524566785494,"2018-09-01"
2019,2.98901944363574,"09",16.4601166771518,"2019-09-01"
2020,2.04102499528478,"09",18.1729652802149,"2020-09-01"
2013,1.14915053974099,"10",10.8904475866584,"2013-10-01"
2014,5.84192804267911,"10",14.7100855966951,"2014-10-01"
2015,2.60265053784843,"10",14.3353481087633,"2015-10-01"
2016,10.2630510586264,"10",12.2679663893356,"2016-10-01"
2017,5.03229677270602,"10",11.7958241876095,"2017-10-01"
2018,2.54477418495582,"10",12.8096290292278,"2018-10-01"
2019,2.41890054806173,"10",9.62440188517869,"2019-10-01"
